region,year,value,metric,source,demographic,group,source_reliability
Guangdong,2015,2.537,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2015,1.793,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2016,2.709,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2016,1.924,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2017,2.702,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2017,2.061,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2018,2.915,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2018,2.055,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2019,3.06,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2019,2.251,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2020,3.178,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2020,2.366,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2020,0.493,Immigration Age 0-14,China National Bureau of Statistics,Age,0-14,0.95
Guangdong,2020,0.585,Immigration Age 15-24,China National Bureau of Statistics,Age,15-24,0.95
Guangdong,2020,0.59,Immigration Age 25-34,China National Bureau of Statistics,Age,25-34,0.95
Guangdong,2020,0.422,Immigration Age 35-44,China National Bureau of Statistics,Age,35-44,0.95
Guangdong,2020,0.215,Immigration Age 45-59,China National Bureau of Statistics,Age,45-59,0.95
Guangdong,2020,0.097,Immigration Age 60+,China National Bureau of Statistics,Age,60+,0.95
Guangdong,2021,3.379,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2021,2.449,Provincial Emigration,China National Bureau of Statistics,,,0.95
Guangdong,2021,0.435,Immigration Age 0-14,China National Bureau of Statistics,Age,0-14,0.95
Guangdong,2021,0.577,Immigration Age 15-24,China National Bureau of Statistics,Age,15-24,0.95
Guangdong,2021,0.569,Immigration Age 25-34,China National Bureau of Statistics,Age,25-34,0.95
Guangdong,2021,0.394,Immigration Age 35-44,China National Bureau of Statistics,Age,35-44,0.95
Guangdong,2021,0.273,Immigration Age 45-59,China National Bureau of Statistics,Age,45-59,0.95
Guangdong,2021,0.085,Immigration Age 60+,China National Bureau of Statistics,Age,60+,0.95
Guangdong,2022,3.462,Provincial Immigration,China National Bureau of Statistics,,,0.95
Guangdong,2022,2.447,Provincial Emigration,China National Bureau of Statistics,,,0.95
